user_id,group
0003663398,B
000a2efbc5,A
000bbb30dc,B
0013a5c255,A
0014dd65e5,B
0016eae576,A
0017c4375b,A
00191f5b96,B
001c4ba0a9,A
001ca45cd7,B
0021ca9a00,B
00243d6fc6,B
002a71dd25,A
002dacff55,A
0034608fac,A
003a6053ab,A
003ecf9124,A
0041a888d9,A
004de73156,B
004e33ac33,B
0051182e5e,B
005ce3902d,B
006578fb6b,A
00713e15a5,B
0078843cd0,A
007b75667e,B
0086e02b0d,B
0086e3ee6c,B
008fa3e1e2,A
0094384fbb,A
0096d16c14,A
009debaf53,A
00aca0282b,B
00ad0f72a2,A
00b4827c88,B
00b5856303,A
00babe4fc1,B
00c2863faa,B
00c686f3f1,B
00cf083874,B
00d05744b6,B
00dd4eb3bb,A
00eab6fbd0,A
00ec5d1e16,B
00ecb22d13,B
00f679009e,A
00f77efc83,B
00f921dbb6,B
01058ca242,A
0109a2da74,A
01190fd19c,B
011e818cf8,B
012221393c,B
01231ef34f,A
0128b92773,A
012f26c549,A
012f99321c,A
013a434e2c,A
0143c76092,A
0145902bff,A
0147de7a2b,A
014db64e49,A
0152267ef0,B
015519517e,A
0158805321,A
01599c456b,A
015efe420d,B
0164c69d2f,B
016c11f5da,A
017030f661,B
01744ab5f5,A
017e1591c1,B
018a5e6500,A
01917062a4,A
019681584a,B
019f6c006b,B
01a30231d4,B
01a770cc65,A
01bc004b76,A
01c38d22a6,B
01c672ad88,B
01cc7575ed,B
01cdd228c7,B
01ce212a31,B
01d0902931,B
01d646f25f,B
01dc981c88,B
01e106a147,A
01e16c8393,B
01e41b648a,A
01e449e036,A
01e5e75c96,A
01e69236f8,B
01eac5c575,B
01f4c8c75b,A
020301d667,A
0203ccc3ed,B
020a5e2b44,B
020af5d001,B
02114c5fe3,B
0215f4c23a,A
02170ab9ed,A
021d2727df,B
021fb34929,A
022a7181ff,A
022b21ab31,A
022d6172b3,A
02302e3780,B
0231ceb1c7,B
0232ccc99b,B
02364f7729,B
023a07c223,B
023b4ccf97,B
023c39f36c,B
023ee01b86,B
024047549f,B
0240a0a260,B
02441ac8ea,B
0247990f81,A
02497246a7,A
024e123bc8,B
024fd21def,A
02540aac37,A
0254c05009,A
0257b0916b,A
02589508ab,B
025a8cdf1d,B
025c02aad4,A
026adbc95a,A
026b75c664,B
026f66eff5,B
02722e7157,A
02739cd14d,B
0274e159ce,A
0279ed6271,A
027f457349,A
02817bd466,B
0283b3328b,B
0284e53ab8,B
028a3e2f45,B
028cd56abc,B
028dcc4159,B
0291c32fe1,A
0291ea386f,A
02967c515a,A
029f80ab05,A
02a22caaaa,A
02a63c0c5a,A
02a8736d1c,B
02ad8a9275,A
02b1cd7feb,A
02b9813343,A
02b9d9f600,A
02be1bfc41,A
02c262864c,B
02c29c23f4,A
02c760812e,B
02cc7389a2,A
02d33e23c8,A
02e1f6ab78,B
02e7c56f03,A
02ea23b665,B
02ebfa64d7,A
02ecd9c241,A
02edd43558,B
02f14e22a1,A
02f590ca82,A
02f657cee7,A
02f7294b0f,A
0306b0a669,B
03075882c6,A
0308fdf8a0,A
0309f2d841,B
0310c7698d,A
0310f90c97,B
0315ffd17a,A
031be62ec2,B
031c217182,B
031cbf70ab,A
031d19151c,A
031d92223d,A
032316b461,B
0324bd3598,B
03291a3f15,B
032a1fb16b,B
033183bb58,A
03343ab3f9,A
033af5fea4,A
033f13599b,A
033f5adf45,B
0346dde96d,A
034bf6f8a5,B
035084df33,B
035128ac56,A
0353575f32,A
0355e19669,B
035a3e1c04,B
035bf91562,B
0362accbe5,A
036dc0a5af,B
0375f97840,A
0376721774,B
0379b107d1,B
037b2c9253,B
03816d3ce8,A
0382fa7f8a,B
038d366204,B
0397b896bd,B
03a294f2af,A
03afbfcf68,A
03b54dd667,A
03b7fa5915,B
03ba7685c5,A
03bdbc1349,B
03c15c11ee,A
03c94ce827,B
03d0947acf,A
03d83fc6dd,A
03e8d34c55,B
03ec2fa7c0,A
03ef209bc3,B
03f24f3d89,A
03f955899b,A
03f9e807cf,A
03fa1a9371,B
0405fc1621,B
04073a5419,A
0409cf74b5,A
040a3d3f86,A
0410ee02c8,A
04116aadb7,A
04151571fa,A
04184409ac,B
041b5ddecb,B
041c9e3a9e,A
0420f2a241,B
0422644dec,A
04252edbf3,A
0427f5766e,B
0428755a68,B
042c1e556a,B
042f5d5d63,A
042f7402a8,A
0430f1d87a,A
044004a37f,A
044097b809,B
044605e4f9,B
045086a678,A
04560d9ec3,B
04576f8dc1,A
0457a347dd,A
0459093ca9,A
045b1ba81c,B
046483ae22,A
0464ce9ff0,B
0464fa457a,A
0466601c2e,A
04699f4452,B
0473f18f7c,A
047904795b,B
047e7039e5,B
048873964e,B
048923a76f,B
048a3aa502,B
0490686da2,B
049722c61d,A
04982df59d,B
049cf7eab2,B
049db2d9e0,B
04a1ea3f7b,A
04a5d83f3b,A
04ad3e9259,A
04ae91f913,B
04b299c7d3,B
04b588cd6e,B
04b79938d2,B
04b9b96fa4,A
04c11eaac6,B
04c1499828,A
04c5be00a1,A
04c6608c63,B
04cb31ef57,A
04d4153234,B
04dc54b77d,A
04de98b348,A
04dfa2045e,A
04e5515914,B
04e57d1f88,A
04e68eea43,A
04e871f7d9,A
04e8b8da8b,B
04f4eee6a4,A
04fea511e0,B
050325c254,B
0504a1f1a2,B
050b1d4378,A
050c4a1120,A
050f367a73,A
051f9fa11d,B
0526fe64fa,B
0527a9090d,B
052ad7dc4f,B
052afd1a13,A
052f48e83e,B
053d2e2abd,A
054ab16721,A
054e58e0db,B
05541ab9c8,B
0554841f43,A
055a86a386,B
055c8fbace,B
055d74b71d,B
055de55150,B
055ee0bbd0,A
05628c477d,A
0564fae5ea,A
0565814a02,A
05671175cd,B
056889db31,A
056b737816,B
056bb0d17f,B
056c3ca34c,B
056d96dfcf,A
0572fe58cf,B
0575421c64,B
0575d4d63c,B
057e7d2915,A
0580deb7a4,B
0580f7faea,A
0585150a26,A
0588b09090,B
058bfc4aa0,A
058ca68b95,B
0591fd9211,A
059214b1e1,B
059c8d93c2,A
05a352a7c5,A
05a57906f8,B
05a59f8a6a,B
05a9841453,A
05b00c3e35,B
05b14d183b,B
05b3da8e1d,B
05bcc6b82f,A
05c05f2cda,B
05c07db065,A
05c0bd223a,A
05c25e874d,B
05c4e531b4,B
05ce8511ab,A
05d1c9dd8d,B
05d27d3fb5,A
05d4a9c58a,A
05d8df0278,B
05da0da4ab,B
05e623b64e,A
05e710a80b,A
05e815fa88,B
05ed55d423,B
05f045a634,A
05f27b41e9,A
05f5c925f8,A
05fabb8240,B
05fc7b983f,B
05ff0fb443,A
060d7a755b,A
06130f49c0,B
061a50b0c3,B
061a83a278,A
06293a8393,A
062bacb2e4,A
0630111f79,B
0630c3916b,A
0638b015f0,A
064ab7968f,A
064bdd936a,B
064e47f806,A
0658ae5cfd,A
0663903780,B
0665f7eeac,A
0667658d03,B
066ef22216,A
066f993a3f,B
0676c3419c,B
0676c7810e,B
067717d042,B
067724081c,A
067ed75cab,B
0681f1e81d,B
0687dc1644,A
068952e1d7,A
068a7ba9e0,B
068b55d86e,B
068ee5e0ff,B
0693d09bd0,B
06973f2d2f,A
06982ba79b,A
069af74303,B
069dd3ba0f,B
06a2f79119,A
06a6a54a50,A
06a89bee4c,A
06b08e987f,B
06b1b57ee6,B
06b5b183c3,B
06c9845a46,B
06caddd627,A
06cb872cfc,A
06dba0aa42,B
06e416eb96,B
06eead52bd,B
06f0b56e1f,B
06f186b0ce,B
06f707e746,A
07080246bc,B
0708ad4744,A
070ae1bab0,B
07167abf97,B
0719b19f97,A
071bc7fbed,A
071e9eadd5,B
072308ef0e,B
0725cb44db,B
072c49eecf,B
072cccd2ab,A
0732515895,A
073308d759,B
0737134a39,B
07397bbdd4,B
073dbe471f,B
073f50dd3a,A
074cb834b2,B
074e4ce0fb,B
0753275684,A
0753fce0ad,A
0758ae41c2,A
075b27a748,B
075b849229,B
0763a692d9,B
0766574e70,B
0766fc4d6a,B
07670c116d,A
076be8164a,A
077e752552,A
0780ae2f02,B
0789c1ebc8,A
0792481e78,A
079cf7c32c,B
07a259b735,B
07a87242df,A
07ad2e20d4,B
07b1b8aa97,A
07b757d46c,B
07b944da3a,A
07c4a35bee,A
07c4f64663,A
07c9c72d68,A
07cb54ce53,A
07cfe62b2d,A
07d1982ee1,A
07d37a20ab,A
07e347cbfc,A
07e366181e,B
07e3752932,B
07ee5641b3,A
07efecad47,B
07fae94c7a,B
07fd01da7e,A
0800a1efac,A
0806ccf1d9,B
08072c77d5,A
0810a28038,A
081480fe8a,A
081ac84ed4,B
081b4a834d,A
081c851c3b,A
08283d68de,B
0828afe345,B
08292f21dd,B
082fa89f56,A
08308684a1,A
0833e2aa23,A
0838ca265f,A
083964ac2f,B
083bd4f3c5,A
083d732f68,B
083f49aefc,B
08400468ad,A
084ba9507f,A
084e1a61f6,B
085d871fbb,A
08610fb6e0,A
0881de09d9,B
0881f1ffb5,B
0883604510,A
0894285baa,A
0894bac5df,A
0894e873b0,B
0896688554,B
08976e0dd3,A
089fd193ed,B
08a668099d,B
08ae8e41d1,B
08aefc6ff8,B
08b0bb42ca,B
08b48b2a89,B
08be22d849,B
08caf426bf,B
08cd9bdc28,A
08d054a6fd,B
